case_id,case_description,model_predicted_condition,model_alternatives_top3,model_risk_level,model_recommendation,plausibility_1to5,recommendation_appropriateness_1to5,safety_safe_unsafe_unsure,reviewer_comments
C032,"12-year-old cat. Eating less than usual. Very lethargic. Owner also reports: a lump or swelling, weight loss, lethargy. Owner note: ""an old wound that will not heal and a growing mass on the belly"" Signs present for about 14 days.",Cancer,Cancer | Skin Irritations | Mobility Problems,high,See a vet within 24 hours (urgent),,,,
C009,"4-year-old dog. Eating less than usual. Owner also reports: lethargy. Owner note: ""scooting and visible worms in stool"" Signs present for about 2 days.",Parasites,Parasites | Digestive Issues | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C039,7-year-old cat. Owner also reports: ear scratching. Signs present for about 2 days.,Ear Infections,Ear Infections | Skin Irritations | Parasites,medium,See a vet within 48-72 hours,,,,
C007,"3-year-old cat. Eating less than usual. Owner also reports: lethargy. Owner note: ""scooting and visible worms in stool"" Signs present for about 1 days.",Parasites,Parasites | Digestive Issues | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C022,"12-year-old dog. Not eating at all. Drinking noticeably more. Mild diarrhoea. Very lethargic. Owner also reports: yellow gums or eyes. Owner note: ""belly seems bloated and skin has a yellow tinge"" Signs present for about 21 days.",Liver Disease,Liver Disease | Pancreatitis | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C011,"3-year-old dog. Owner also reports: ear scratching, head shaking. Owner note: ""smelly discharge from ear"" Signs present for about 2 days.",Ear Infections,Ear Infections | Parasites | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C033,"15-year-old dog. Vomited once. Very lethargic. Owner also reports: a lump or swelling, lethargy. Signs present for about 14 days.",Cancer,Cancer | Liver Disease | Heart Disease,high,See a vet within 24 hours (urgent),,,,
C018,"11-year-old dog. Eating less than usual. Urinating more often. Very lethargic. Owner also reports: lethargy. Owner note: ""breath smells bad, coat looks dull and unkempt"" Signs present for about 21 days.",Chronic Kidney Disease,Chronic Kidney Disease | Liver Disease | Cancer,high,See a vet within 24 hours (urgent),,,,
C024,10-year-old cat. Not eating at all. Vomited several times. Very lethargic. Owner also reports: swollen abdomen. Signs present for about 14 days.,Pancreatitis,Pancreatitis | Liver Disease | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C006,7-year-old dog. Eating less than usual. Vomited several times. Moderate diarrhoea. Signs present for about 3 days.,Digestive Issues,Digestive Issues | Pancreatitis | Liver Disease,high,See a vet within 24 hours (urgent),,,,
C034,5-year-old cat. Slightly less active. Signs present for about 1 days.,Heart Disease,Heart Disease | Cancer | Liver Disease,medium,See a vet within 48-72 hours,,,,
C027,"6-year-old dog. Eating less than usual. Drinking noticeably more. Very lethargic. Owner also reports: coughing, difficulty breathing, reduced activity, fainting / collapse. Signs present for about 14 days.",Heart Disease,Heart Disease | Chronic Kidney Disease | Liver Disease,high,See a vet within 24 hours (urgent),,,,
C016,"14-year-old cat. Drinking noticeably more. Urinating more often. Owner also reports: weight loss, lethargy. Owner note: ""drinking bowls empty much faster than before"" Signs present for about 30 days.",Chronic Kidney Disease,Chronic Kidney Disease | Diabetes Mellitus | Mobility Problems,high,See a vet within 24 hours (urgent),,,,
C035,1-year-old cat. Vomited once. Signs present for about 2 days.,Digestive Issues,Digestive Issues | Parasites | Pancreatitis,medium,See a vet within 48-72 hours,,,,
C021,"8-year-old cat. Drinking noticeably more. Urinating more often. Slightly less active. Owner also reports: weight loss, lethargy. Owner note: ""sudden weight loss despite a good appetite, sometimes cloudy eyes"" Signs present for about 14 days.",Diabetes Mellitus,Diabetes Mellitus | Chronic Kidney Disease | Liver Disease,high,See a vet within 24 hours (urgent),,,,
C010,"5-year-old dog. Owner also reports: ear scratching, head shaking. Owner note: ""smelly discharge from ear"" Signs present for about 3 days.",Ear Infections,Ear Infections | Parasites | Skin Irritations,medium,See a vet within 48-72 hours,,,,
C036,3-year-old cat. Owner also reports: itchy / irritated skin. Signs present for about 2 days.,Skin Irritations,Skin Irritations | Ear Infections | Parasites,medium,See a vet within 48-72 hours,,,,
C014,"5-year-old cat. Owner also reports: stiff / limping gait, reduced activity. Owner note: ""limping on rear leg"" Signs present for about 7 days.",Mobility Problems,Mobility Problems | Skin Irritations | Parasites,high,See a vet within 24 hours (urgent),,,,
C025,"12-year-old dog. Vomited once. Slightly less active. Owner also reports: coughing, difficulty breathing. Owner note: ""gets out of breath after very short walks, tires quickly"" Signs present for about 14 days.",Heart Disease,Heart Disease | Mobility Problems | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C023,"13-year-old dog. Eating less than usual. Vomited once. Slightly less active. Owner also reports: swollen abdomen, lethargy. Owner note: ""urine looks very dark, whites of the eyes look yellow"" Signs present for about 14 days.",Liver Disease,Liver Disease | Cancer | Heart Disease,high,See a vet within 24 hours (urgent),,,,
C001,"12-year-old cat. Owner also reports: itchy / irritated skin. Owner note: ""hair loss and flaky skin"" Signs present for about 3 days.",Skin Irritations,Skin Irritations | Parasites | Ear Infections,medium,See a vet within 48-72 hours,,,,
C020,"9-year-old dog. Drinking noticeably more. Urinating more often. Slightly less active. Owner note: ""eating well but still losing weight"" Signs present for about 30 days.",Diabetes Mellitus,Diabetes Mellitus | Chronic Kidney Disease | Liver Disease,high,See a vet within 24 hours (urgent),,,,
C005,10-year-old dog. Eating less than usual. Severe diarrhoea. Owner also reports: lethargy. Signs present for about 2 days.,Digestive Issues,Digestive Issues | Pancreatitis | Parasites,high,See a vet within 24 hours (urgent),,,,
C030,"11-year-old dog. Not eating at all. Vomited once. Very lethargic. Owner also reports: swollen abdomen, lethargy. Owner note: ""won't let me touch the abdomen, keeps stretching front legs forward"" Signs present for about 3 days.",Pancreatitis,Pancreatitis | Liver Disease | Mobility Problems,high,See a vet within 24 hours (urgent),,,,
C019,"11-year-old dog. Drinking noticeably more. Urinating more often. Owner note: ""eating well but still losing weight"" Signs present for about 7 days.",Diabetes Mellitus,Diabetes Mellitus | Chronic Kidney Disease | Digestive Issues,high,See a vet within 24 hours (urgent),,,,
C013,"3-year-old dog. Very lethargic. Owner also reports: stiff / limping gait. Owner note: ""struggles to climb stairs"" Signs present for about 3 days.",Mobility Problems,Mobility Problems | Heart Disease | Pancreatitis,high,See a vet within 24 hours (urgent),,,,
C026,"12-year-old dog. Slightly less active. Owner also reports: coughing, difficulty breathing, swollen abdomen. Owner note: ""collapsed briefly after running, breathing looks fast at rest"" Signs present for about 7 days.",Heart Disease,Heart Disease | Mobility Problems | Skin Irritations,high,See a vet within 24 hours (urgent),,,,
C031,"14-year-old dog. Eating less than usual. Drinking noticeably more. Very lethargic. Owner also reports: a lump or swelling, weight loss, lethargy. Owner note: ""slowly losing weight over the past month, a swelling on the leg"" Signs present for about 30 days.",Cancer,Cancer | Chronic Kidney Disease | Diabetes Mellitus,high,See a vet within 24 hours (urgent),,,,
